ID da partida,Patch,Queue,riot_id,Tag,Campeão,Lane,Side,Win,Kills,Mortes,Assistências,KDA,Spell 1,Spell 2,Ouro adquirido,Ouro gasto,Ouro do time,Plates destruídas,Solo kills,Kills em baixo da propria torre,Participação de Kill,Dano por minuto,Dano causado,Dano sofrido,Porcentagem de dano do time,Porcentagem de dano sofrido no time,Total de dano protegido por escudo em aliados,Total de cura em aliados,Minions farmados,Jungle farmada,Jungle aliada farmada,Jungle inimiga farmada,Placar de visão,Placar de visão por minuto,Wards colocadas,Pinks colocadas,Wards destruídas,Primeira torre,Dano total em estruturas,Torres destruídas com arauto,Dragons,Arautos,Barons,Dragões anciões,Objetivos roubados,Remake,Surrender,Item0,Item1,Item2,Item3,Item4,Item5,Item6,perk_primary_style,perk_secondary_style,perk_keystone,perk_primary_row_1,perk_primary_row_2,perk_primary_row_3,perk_secondary_row_1,perk_secondary_row_2,perk_shard_offense,perk_shard_flex,perk_shard_defense,participant_id,Puuid,ID do Jogador,ID do Campeão,Porcentagem de Ouro,Farm Total,Data da partida,Duração da partida,Participação de First Blood,Item0_name,Item1_name,Item2_name,Item3_name,Item4_name,Item5_name,Item6_name,Champion_icon,Item0_image,Item1_image,Item2_image,Item3_image,Item4_image,Item5_image,Item6_image,Spell 1 icon,Spell 2 icon
BR1_2987660620,14.16,Arena,frosty,KR3,Smolder,,blue,True,9,8,10,"2,375",Flash,Flee,18627,24500,117043,0,3,0,"0,2923076923076923","2691,925363457491",58634,33706,"0,16689217441015544","0,09299312855677708",0,0,9,0,0,0,0,"0,0",0,0,0,False,0,0,0,0,0,0,0,False,False,223094,223158,223072,223042,223078,224403,3348,0,0,0,0,0,0,0,0,0,0,0,8,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,901,"0,1591466384149415",9,20/08/2024,00:21:41,False,Canhão Fumegante,Botas Ionianas da Lucidez,Sedenta por Sangue,Muramana,Força da Trindade,Espátula Dourada,Analisador Arcano,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/901.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223094.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223158.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223072.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223042.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223078.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/224403.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3348.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flee.png
BR1_2987563264,14.16,Ranqueada Solo/Duo,frosty,KR3,Rell,SUP,red,False,5,4,12,"4,25",Flash,Ignite,10351,9825,71064,0,0,0,"0,5666666666666667","217,60166675373011",7855,34357,"0,0648667983939925","0,19678723453881442",0,0,39,0,0,0,140,"3,8959850581880637",69,21,23,False,982,0,4,0,1,0,0,False,True,3876,0,3067,3158,3083,3050,3364,Determinação,Inspiração,Pós-choque,Demolir,Ventos Revigorantes,Crescimento Excessivo,Perspicácia Cósmica,Flashtração Hextec,Aceleração de Habilidade,Escalamento de Vida,Escalamento de Vida,10,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,526,"0,14565743555105257",39,20/08/2024,00:36:05,False,Trenó do Solstício,0,Gema Ardente,Botas Ionianas da Lucidez,Armadura de Warmog,Convergência de Zeke,Lente do Oráculo,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/526.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3876.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/0.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3067.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3158.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3083.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3050.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3364.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summonerignite.png
BR1_2987540751,14.16,Arena,frosty,KR3,Khazix,,blue,True,14,6,4,"3,0",Flash,Flee,14000,16250,111879,0,1,0,"0,225","2065,925582241095",41996,30071,"0,13572752398074375","0,10459218339609756",0,0,0,0,0,0,0,"0,0",0,0,0,False,0,0,0,0,0,0,0,False,False,226676,223158,226695,226699,226694,223814,3348,0,0,0,0,0,0,0,0,0,0,0,11,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,121,"0,1251351906970924",0,20/08/2024,00:20:14,True,A Coletora,Botas Ionianas da Lucidez,Presa da Serpente,Cicloespada Voltaica,Rancor de Serylda,Limiar da Noite,Analisador Arcano,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/121.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/226676.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223158.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/226695.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/226699.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/226694.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/223814.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3348.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flee.png
BR1_2987518997,14.16,Ranqueada Solo/Duo,frosty,KR3,Leona,SUP,blue,False,2,6,7,"1,5",Flash,Ignite,6218,5875,41105,0,0,0,"0,75","383,812629899431",8555,18373,"0,15053860577260564","0,1876116803025517",0,0,26,0,0,0,68,"3,0639119986235714",31,7,13,False,690,0,0,0,0,0,0,False,True,3869,2055,3083,1028,3111,0,3364,Determinação,Precisão,Pós-choque,Demolir,Osso Revestido,Crescimento Excessivo,Impacto Repentino,Caça Incansável,Aceleração de Habilidade,Escalamento de Vida,Vida,5,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,89,"0,15127113489843086",26,20/08/2024,00:22:17,False,Oposição Celestial,Sentinela de Controle,Armadura de Warmog,Cristal de Rubi,Passos de Mercúrio,0,Lente do Oráculo,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/89.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3869.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/2055.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3083.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/1028.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3111.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/0.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3364.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summonerignite.png
BR1_2987501326,14.16,ARAM,frosty,KR3,Smolder,,blue,True,17,9,27,"4,888888888888889",Flash,Ghost,15944,13250,67285,0,2,2,"0,7213114754098361","2617,2800799537104",46398,26795,"0,30118981558506625","0,14315489615040933",0,0,107,0,0,0,0,"0,0",0,0,0,True,2379,0,0,0,0,0,0,False,False,3157,3158,3161,3042,6653,0,2052,Dominação,Feitiçaria,Agilidade nos Pés,Presença de Espírito,Lenda: Aceleração,Dilacerar,Foco Absoluto,Tempestade Crescente,Velocidade de Ataque,Força Adaptativa,Escalamento de Vida,2,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,901,"0,2369621758192762",107,20/08/2024,00:17:43,True,Ampulheta de Zhonya,Botas Ionianas da Lucidez,Lança de Shojin,Muramana,Tormento de Liandry,0,Poritos,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/901.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3157.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3158.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3161.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3042.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/6653.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/0.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/2052.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_haste.png
BR1_2987480308,14.16,ARAM,frosty,KR3,Gwen,,blue,True,28,11,24,"4,7272727272727275",Flash,Ghost,19325,17900,73259,0,0,10,"0,8524590163934426","3507,9820432992196",69963,47069,"0,3662309186379466","0,22489460335468942",0,0,103,0,0,0,0,"0,0",0,0,0,False,755,0,0,0,0,0,0,False,False,4629,3111,3089,3115,6653,3135,0,Dominação,Feitiçaria,Conquistador,Presença de Espírito,Lenda: Espontaneidade,Até a Morte,Celeridade,Tempestade Crescente,Velocidade de Ataque,Força Adaptativa,Vida,1,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,887,"0,2637901145251778",103,20/08/2024,00:19:56,False,Ímpeto Cósmico,Passos de Mercúrio,Capuz da Morte de Rabadon,Dente de Na'Shor,Tormento de Liandry,Cajado do Vazio,0,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/887.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/4629.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3111.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3089.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3115.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/6653.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3135.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/0.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_haste.png
BR1_2987275115,14.16,Ranqueada Solo/Duo,frosty,KR3,Kaisa,ADC,red,True,12,1,4,"16,0",Flash,Cleanse,10592,10325,35107,7,1,0,"0,5925925925925926","1123,3487359217634",17160,8122,"0,35451862734897605","0,19444525133259186",0,0,143,6,6,0,5,"0,3714994569868864",4,0,0,False,7413,0,2,0,0,0,0,False,True,2055,3006,3124,3115,1055,3087,3363,Dominação,Inspiração,Pressione o Ataque,Absorção Vital,Lenda: Espontaneidade,Dilacerar,Entrega de Biscoitos,Calçados Mágicos,Velocidade de Ataque,Força Adaptativa,Vida,9,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,145,"0,3017062124362663",149,19/08/2024,00:15:16,True,Sentinela de Controle,Grevas do Berserker,Lâmina da Fúria de Guinsoo,Dente de Na'Shor,Lâmina de Doran,Faca de Statikk,Alteração Vidente,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/145.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/2055.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3006.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3124.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3115.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/1055.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3087.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3363.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_boost.png
BR1_2987252846,14.16,Ranqueada Solo/Duo,frosty,KR3,Alistar,SUP,red,False,0,8,14,"1,75",Flash,Ignite,8717,8575,76936,1,0,0,"0,4117647058823529","187,72624991910223",6908,44947,"0,05595167675403968","0,22007317104914956",0,4694,20,0,0,0,113,"3,0884079606302226",67,19,4,False,0,0,3,0,2,0,0,False,False,3876,2055,3083,3047,3190,0,3364,Determinação,Inspiração,Pós-choque,Fonte da Vida,Osso Revestido,Inabalável,Perspicácia Cósmica,Flashtração Hextec,Velocidade de Ataque,Escalamento de Vida,Vida,10,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,12,"0,11330196526983467",20,19/08/2024,00:36:47,False,Trenó do Solstício,Sentinela de Controle,Armadura de Warmog,Botas Galvanizadas de Aço,Medalhão dos Solari de Ferro,0,Lente do Oráculo,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/12.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3876.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/2055.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3083.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3047.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3190.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/0.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3364.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summonerignite.png
BR1_2987238952,14.16,Ranqueada Solo/Duo,frosty,KR3,Braum,SUP,blue,False,0,6,10,"1,6666666666666667",Flash,Ignite,7402,6800,56078,0,0,0,"0,5","246,28372354455044",7466,27766,"0,07238053624452748","0,216077249775552",1514,0,25,0,0,0,90,"2,9854321388835694",42,12,8,False,0,5,1,1,1,0,0,False,False,3876,2055,3083,3009,3067,1029,3364,Determinação,Inspiração,Guardião,Demolir,Condicionamento,Crescimento Excessivo,Entrega de Biscoitos,Velocidade de Aproximação,Aceleração de Habilidade,Escalamento de Vida,Escalamento de Vida,5,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,201,"0,1319947216377189",25,19/08/2024,00:30:18,False,Trenó do Solstício,Sentinela de Controle,Armadura de Warmog,Botas da Rapidez,Gema Ardente,Couraça de Pano,Lente do Oráculo,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/201.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3876.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/2055.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3083.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3009.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3067.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/1029.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3364.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summonerignite.png
BR1_2987159367,14.16,Ranqueada Solo/Duo,frosty,KR3,Nautilus,SUP,blue,True,4,4,26,"7,5",Flash,Ignite,11429,10200,85287,0,0,1,"0,6382978723404256","375,7631796464542",14179,40419,"0,08078590472923956","0,21293425576164",0,0,17,0,0,0,142,"3,7865993989935594",77,22,8,False,140,0,3,1,2,0,0,False,True,3877,0,3067,3083,3050,3013,3364,Determinação,Inspiração,Pós-choque,Golpe de Escudo,Ventos Revigorantes,Crescimento Excessivo,Perspicácia Cósmica,Flashtração Hextec,Velocidade de Ataque,Escalamento de Vida,Vida,5,UlnQZkL4zFKNoIdEV10XHHVl9j95couaYi6ZpGcvCgK7Gu--V5Yjnnsl_a0_ehfAEgruyJR7QoxUzQ,EBSi7qhLs2P7ZN4lZ-jY5l4kxI-tM5uUx_vL1q0VHabrahI,111,"0,1340063550130735",17,19/08/2024,00:37:43,True,Canção de Sangue,0,Gema Ardente,Armadura de Warmog,Convergência de Zeke,Almas Sincronizadas,Lente do Oráculo,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-icons/111.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3877.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/0.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3067.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3083.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3050.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3013.png,https://ddragon.leagueoflegends.com/cdn/14.16.1/img/item/3364.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summoner_flash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/data/spells/icons2d/summonerignite.png
